name,imagelink
avatar.way.of.the.water,
back.to.the.future.1,
back.to.the.future.2,
back.to.the.future.3,
big.hero.6,
cars.1,
cars.2,
cars.3,
frozen.2,
good.boys,
hidden.figures,
how.to.train.your.dragon.1,
how.to.train.your.dragon.2,
how.to.train.your.dragon.3,
how.to.train.your.dragon.homecoming,
karate.kid.1,
karate.kid.2,
karate.kid.3,
men.in.black.1,
men.in.black.2,
men.in.black.3,
men.in.black.international,
minions.the.rise.of.gru,
now.you.see.me.1,
now.you.see.me.2,
percy.jackson.and.the.lightning.thief,
percy.jackson.sea.of.monsters,
pokemon.detective.pikachu,
puss.in.boots.the.last.wish,
ready.player.one,
romeo.and.juliet,
shazam.fury.of.the.gods,
shazam,
sonic.the.hedgehog.1,
sonic.the.hedgehog.2,
spider.man.far.from.home,
spider.man.homecoming,
spider.man.no.way.home,
spies.in.disguise,
teen.beach.1,
teen.beach.2,
the.croods.a.new.age,
toy.story.1,
toy.story.2,
toy.story.3,
toy.story.4,
